Sorts,Sequence,Time
Tim,AAAA,0.000429
Tim,AAAC,0.000403
Tim,AAAD,0.001072
Tim,AACA,0.000404
Tim,AACC,0.000404
Tim,AACD,0.001222
Tim,AADA,0.001644
Tim,AADC,0.001389
Tim,AADD,0.00174
Tim,ACAA,0.000404
Tim,ACAC,0.000404
Tim,ACAD,0.001222
Tim,ACCA,0.000404
Tim,ACCC,0.000404
Tim,ACCD,0.001373
Tim,ACDA,0.001792
Tim,ACDC,0.001539
Tim,ACDD,0.001564
Tim,ADAA,0.001715
Tim,ADAC,0.002037
Tim,ADAD,0.002835
Tim,ADCA,0.00205
Tim,ADCD,0.00222
Tim,ADDA,0.001939
Tim,ADDC,0.001803
Tim,ADDD,0.001871
Tim,CAAA,0.000404
Tim,CAAC,0.000404
Tim,CAAD,0.00107
Tim,CACA,0.000404
Tim,CACC,0.000404
Tim,CACD,0.001377
Tim,CADA,0.001639
Tim,CADC,0.001387
Tim,CADD,0.001563
Tim,CCAA,0.000403
Tim,CCAC,0.000404
Tim,CCAD,0.001071
Tim,CCCA,0.000403
Tim,CCCC,0.000404
Tim,CCCD,0.001195
Tim,CCDA,0.001464
Tim,CCDC,0.001321
Tim,CCDD,0.001385
Tim,CDAA,0.001449
Tim,CDAC,0.001448
Tim,CDAD,0.002507
Tim,CDCA,0.001844
Tim,CDCD,0.002037
Tim,CDDA,0.001759
Tim,CDDC,0.001621
Tim,CDDD,0.001693
Tim,DAAA,0.000954
Tim,DAAC,0.000955
Tim,DAAD,0.001627
Tim,DACA,0.001116
Tim,DACC,0.001279
Tim,DACD,0.002042
Tim,DADA,0.002685
Tim,DADC,0.002351
Tim,DADD,0.002776
Tim,DCAA,0.001127
Tim,DCAC,0.001285
Tim,DCAD,0.002061
Tim,DCCA,0.0013
Tim,DCCC,0.001134
Tim,DCCD,0.001754
Tim,DCDA,0.002038
Tim,DCDC,0.0019
Tim,DCDD,0.002317
Tim,DDAA,0.00144
Tim,DDAC,0.001307
Tim,DDAD,0.002091
Tim,DDCA,0.001306
Tim,DDCC,0.001167
Tim,DDCD,0.001614
Tim,DDDA,0.001382
Tim,DDDC,0.001233
Tim,DDDD,0.001292
