Sorts,Sequence,Time,
Tim,AAAA,0.000107,
Tim,AAAC,0.000108,
Tim,AAAD,0.000276,
Quad,AAAR,0.000578,
Tim,AACA,0.000108,
Tim,AACC,0.000108,
Tim,AACD,0.000314,
Quad,AACR,0.000695,
Tim,AADA,0.000423,
Tim,AADC,0.000356,
Tim,AADD,0.000445,
Quad,AADR,0.000834,
Quad,AARA,0.000666,
Quad,AARC,0.000717,
Quad,AARD,0.000847,
Quad,AARR,0.001099,
Tim,ACAA,0.000109,
Tim,ACAC,0.000110,
Tim,ACAD,0.000278,
Quad,ACAR,0.000579,
Tim,ACCA,0.000110,
Tim,ACCC,0.000110,
Tim,ACCD,0.000352,
Quad,ACCR,0.000704,
Tim,ACDA,0.000460,
Tim,ACDC,0.000395,
Tim,ACDD,0.000402,
Quad,ACDR,0.000821,
Quad,ACRA,0.000669,
Quad,ACRC,0.000676,
Quad,ACRD,0.000839,
Quad,ACRR,0.001051,
Tim,ADAA,0.000438,
Tim,ADAC,0.000438,
Tim,ADAD,0.000718,
Quad,ADAR,0.001003,
Tim,ADCA,0.000523,
Quad,ADCC,0.000437,
Tim,ADCD,0.000589,
Quad,ADCR,0.000904,
Tim,ADDA,0.000494,
Tim,ADDC,0.000462,
Tim,ADDD,0.000482,
Quad,ADDR,0.000950,
Quad,ADRA,0.000986,
Quad,ADRC,0.000889,
Quad,ADRD,0.000994,
Quad,ADRR,0.001285,
Quad,ARAA,0.000579,
Quad,ARAC,0.000691,
Quad,ARAD,0.000914,
Quad,ARAR,0.001140,
Quad,ARCA,0.000686,
Quad,ARCC,0.000695,
Quad,ARCD,0.000878,
Quad,ARCR,0.001156,
Quad,ARDA,0.000999,
Quad,ARDC,0.000905,
Quad,ARDD,0.000984,
Quad,ARDR,0.001305,
Quad,ARRA,0.001153,
Quad,ARRC,0.001168,
Quad,ARRD,0.001301,
Quad,ARRR,0.001553,
Tim,CAAA,0.000115,
Tim,CAAC,0.000115,
Tim,CAAD,0.000283,
Quad,CAAR,0.000594,
Tim,CACA,0.000115,
Tim,CACC,0.000115,
Tim,CACD,0.000320,
Quad,CACR,0.000693,
Tim,CADA,0.000427,
Tim,CADC,0.000363,
Tim,CADD,0.000407,
Quad,CADR,0.000840,
Quad,CARA,0.000678,
Quad,CARC,0.000697,
Quad,CARD,0.000824,
Quad,CARR,0.001058,
Tim,CCAA,0.000116,
Tim,CCAC,0.000117,
Tim,CCAD,0.000285,
Quad,CCAR,0.000594,
Tim,CCCA,0.000117,
Tim,CCCC,0.000117,
Tim,CCCD,0.000316,
Quad,CCCR,0.000706,
Tim,CCDA,0.000382,
Tim,CCDC,0.000346,
Tim,CCDD,0.000363,
Quad,CCDR,0.000742,
Quad,CCRA,0.000682,
Quad,CCRC,0.000702,
Quad,CCRD,0.000802,
Quad,CCRR,0.001082,
Tim,CDAA,0.000381,
Quad,CDAC,0.000413,
Tim,CDAD,0.000638,
Quad,CDAR,0.000897,
Quad,CDCA,0.000413,
Quad,CDCC,0.000361,
Quad,CDCD,0.000505,
Quad,CDCR,0.000836,
Tim,CDDA,0.000459,
Tim,CDDC,0.000425,
Tim,CDDD,0.000444,
Quad,CDDR,0.000890,
Quad,CDRA,0.000871,
Quad,CDRC,0.000829,
Quad,CDRD,0.000926,
Quad,CDRR,0.001218,
Quad,CRAA,0.000665,
Quad,CRAC,0.000686,
Quad,CRAD,0.000909,
Quad,CRAR,0.001123,
Quad,CRCA,0.000679,
Quad,CRCC,0.000700,
Quad,CRCD,0.000849,
Quad,CRCR,0.001185,
Quad,CRDA,0.000944,
Quad,CRDC,0.000866,
Quad,CRDD,0.000947,
Quad,CRDR,0.001258,
Quad,CRRA,0.001152,
Quad,CRRC,0.001174,
Quad,CRRD,0.001260,
Quad,CRRR,0.001562,
Tim,DAAA,0.000261,
Tim,DAAC,0.000261,
Tim,DAAD,0.000428,
Quad,DAAR,0.000815,
Tim,DACA,0.000261,
Tim,DACC,0.000261,
Tim,DACD,0.000533,
Quad,DACR,0.000924,
Tim,DADA,0.000694,
Tim,DADC,0.000609,
Tim,DADD,0.000719,
Quad,DADR,0.001091,
Quad,DARA,0.000906,
Quad,DARC,0.000922,
Quad,DARD,0.001084,
Quad,DARR,0.001320,
Tim,DCAA,0.000306,
Tim,DCAC,0.000307,
Tim,DCAD,0.000541,
Quad,DCAR,0.000917,
Tim,DCCA,0.000351,
Tim,DCCC,0.000310,
Tim,DCCD,0.000463,
Quad,DCCR,0.000875,
Tim,DCDA,0.000536,
Tim,DCDC,0.000540,
Tim,DCDD,0.000617,
Quad,DCDR,0.000893,
Quad,DCRA,0.000910,
Quad,DCRC,0.000871,
Quad,DCRD,0.000953,
Quad,DCRR,0.001253,
Tim,DDAA,0.000387,
Tim,DDAC,0.000352,
Tim,DDAD,0.000550,
Quad,DDAR,0.000978,
Tim,DDCA,0.000354,
Tim,DDCC,0.000318,
Tim,DDCD,0.000429,
Quad,DDCR,0.000939,
Tim,DDDA,0.000370,
Tim,DDDC,0.000335,
Tim,DDDD,0.000350,
Quad,DDDR,0.000981,
Quad,DDRA,0.000966,
Quad,DDRC,0.000930,
Quad,DDRD,0.001038,
Quad,DDRR,0.001323,
Quad,DRAA,0.000829,
Quad,DRAC,0.000843,
Quad,DRAD,0.001087,
Quad,DRAR,0.001303,
Quad,DRCA,0.000835,
Quad,DRCC,0.000781,
Quad,DRCD,0.000929,
Quad,DRCR,0.001240,
Quad,DRDA,0.000995,
Quad,DRDC,0.000949,
Quad,DRDD,0.001027,
Quad,DRDR,0.001341,
Quad,DRRA,0.001289,
Quad,DRRC,0.001235,
Quad,DRRD,0.001358,
Quad,DRRR,0.001656,
Quad,RAAA,0.000575,
Quad,RAAC,0.000574,
Quad,RAAD,0.000899,
Quad,RAAR,0.001049,
Quad,RACA,0.000571,
Quad,RACC,0.000571,
Quad,RACD,0.000869,
Quad,RACR,0.001126,
Quad,RADA,0.000992,
Quad,RADC,0.000907,
Quad,RADD,0.000974,
Quad,RADR,0.001286,
Quad,RARA,0.001124,
Quad,RARC,0.001140,
Quad,RARD,0.001279,
Quad,RARR,0.001533,
Quad,RCAA,0.000678,
Quad,RCAC,0.000676,
Quad,RCAD,0.000906,
Quad,RCAR,0.001147,
Quad,RCCA,0.000694,
Quad,RCCC,0.000696,
Quad,RCCD,0.000823,
Quad,RCCR,0.001142,
Quad,RCDA,0.000924,
Quad,RCDC,0.000850,
Quad,RCDD,0.000931,
Quad,RCDR,0.001244,
Quad,RCRA,0.001142,
Quad,RCRC,0.001143,
Quad,RCRD,0.001251,
Quad,RCRR,0.001540,
Quad,RDAA,0.000831,
Quad,RDAC,0.000831,
Quad,RDAD,0.001096,
Quad,RDAR,0.001285,
Quad,RDCA,0.000862,
Quad,RDCC,0.000791,
Quad,RDCD,0.000924,
Quad,RDCR,0.001254,
Quad,RDDA,0.000954,
Quad,RDDC,0.000914,
Quad,RDDD,0.000994,
Quad,RDDR,0.001292,
Quad,RDRA,0.001301,
Quad,RDRC,0.001242,
Quad,RDRD,0.001354,
Quad,RDRR,0.001649,
Quad,RRAA,0.001059,
Quad,RRAC,0.001068,
Quad,RRAD,0.001292,
Quad,RRAR,0.001525,
Quad,RRCA,0.001079,
Quad,RRCC,0.001058,
Quad,RRCD,0.001236,
Quad,RRCR,0.001544,
Quad,RRDA,0.001293,
Quad,RRDC,0.001236,
Quad,RRDD,0.001321,
Quad,RRDR,0.001608,
Quad,RRRA,0.001530,
Quad,RRRC,0.001526,
Quad,RRRD,0.001644,
Quad,RRRR,0.001924,
