Sorts,Sequence,Time
Tim,AAAA,0.000429
Tim,AAAC,0.000403
Tim,AAAD,0.001072
Quad,AAAR,0.002535
Tim,AACA,0.000404
Tim,AACC,0.000404
Tim,AACD,0.001222
Quad,AACR,0.002909
Tim,AADA,0.001644
Tim,AADC,0.001389
Tim,AADD,0.001740
Quad,AADR,0.003679
Quad,AARA,0.002984
Quad,AARC,0.002936
Quad,AARD,0.003681
Quad,AARR,0.004638
Tim,ACAA,0.000404
Tim,ACAC,0.000404
Tim,ACAD,0.001222
Quad,ACAR,0.002546
Tim,ACCA,0.000404
Tim,ACCC,0.000404
Tim,ACCD,0.001373
Quad,ACCR,0.002951
Tim,ACDA,0.001792
Tim,ACDC,0.001539
Tim,ACDD,0.001564
Quad,ACDR,0.003574
Quad,ACRA,0.002976
Quad,ACRC,0.003106
Quad,ACRD,0.003721
Quad,ACRR,0.004651
Tim,ADAA,0.001715
Tim,ADAC,0.002037
Tim,ADAD,0.002835
Quad,ADAR,0.004289
Tim,ADCA,0.002050
Quad,ADCC,0.001916
Tim,ADCD,0.002220
Quad,ADCR,0.003881
Tim,ADDA,0.001939
Tim,ADDC,0.001803
Tim,ADDD,0.001871
Quad,ADDR,0.004188
Quad,ADRA,0.004287
Quad,ADRC,0.003908
Quad,ADRD,0.004415
Quad,ADRR,0.005539
Quad,ARAA,0.002977
Quad,ARAC,0.002970
Quad,ARAD,0.003854
Quad,ARAR,0.004952
Quad,ARCA,0.003037
Quad,ARCC,0.003146
Quad,ARCD,0.003854
Quad,ARCR,0.005075
Quad,ARDA,0.004231
Quad,ARDC,0.003915
Quad,ARDD,0.004362
Quad,ARDR,0.005594
Quad,ARRA,0.004986
Quad,ARRC,0.005020
Quad,ARRD,0.005598
Quad,ARRR,0.006776
Tim,CAAA,0.000404
Tim,CAAC,0.000404
Tim,CAAD,0.001070
Quad,CAAR,0.002503
Tim,CACA,0.000404
Tim,CACC,0.000404
Tim,CACD,0.001377
Quad,CACR,0.003023
Tim,CADA,0.001639
Tim,CADC,0.001387
Tim,CADD,0.001563
Quad,CADR,0.003688
Quad,CARA,0.002987
Quad,CARC,0.003011
Quad,CARD,0.003632
Quad,CARR,0.004683
Tim,CCAA,0.000403
Tim,CCAC,0.000404
Tim,CCAD,0.001071
Quad,CCAR,0.002543
Tim,CCCA,0.000403
Tim,CCCC,0.000404
Tim,CCCD,0.001195
Quad,CCCR,0.003033
Tim,CCDA,0.001464
Tim,CCDC,0.001321
Tim,CCDD,0.001385
Quad,CCDR,0.003233
Quad,CCRA,0.002901
Quad,CCRC,0.003097
Quad,CCRD,0.003456
Quad,CCRR,0.004648
Tim,CDAA,0.001449
Tim,CDAC,0.001448
Tim,CDAD,0.002507
Quad,CDAR,0.003833
Quad,CDCA,0.001844
Quad,CDCC,0.001629
Tim,CDCD,0.002037
Quad,CDCR,0.003563
Tim,CDDA,0.001759
Tim,CDDC,0.001621
Tim,CDDD,0.001693
Quad,CDDR,0.003888
Quad,CDRA,0.003866
Quad,CDRC,0.003613
Quad,CDRD,0.004121
Quad,CDRR,0.005364
