Sorts,Sequence,Time,
Cape - Tim,AAAA,0.000441,[39344 39346 39348 39349 39350],[78814 78816 78817 78818 78819],[118099 118100 118102 118104 118105],[157209 157210 157211 157212 157214],
Quad,AAAA,0.000533,
Quick,AAAA,0.005540,
Tim,AAAA,0.000429,
Cape - Tim,AAAD,0.001079,[39430 39432 39433 39434 39435],[78752 78753 78755 78756 78757],[118144 118145 118146 118147 118149],[137761 137759 137757 137755 137753],
Quad,AAAD,0.001430,
Quick,AAAD,0.005762,
Tim,AAAD,0.001069,
Cape - Tim,AAAC,0.000410,[39286 39288 39289 39291 39292],[78564 78565 78567 78568 78570],[117902 117903 117905 117906 117908],[147448 147448 147448 147448 147448],
Quad,AAAC,0.000495,
Quick,AAAC,0.005209,
Tim,AAAC,0.000403,
Cape - Quad,AAAR,0.002579,[39249 39251 39252 39253 39255],[78700 78702 78704 78705 78707],[118164 118166 118168 118169 118171],[147685 147686 147684 147685 147683],
Quad,AAAR,0.002536,
Quick,AAAR,0.006534,
Tim,AAAR,0.004323,
Cape - Tim,AADA,0.001654,[39375 39377 39379 39381 39383],[78630 78631 78632 78634 78636],[78633 78632 78630 78628 78627],[59157 59159 59161 59162 59164],
Quad,AADA,0.002226,
Quick,AADA,0.006282,
Tim,AADA,0.001643,
Cape - Tim,AADD,0.001755,[39315 39316 39318 39319 39320],[78625 78627 78628 78630 78631],[78609 78607 78605 78603 78601],[39157 39156 39154 39152 39151],
Quad,AADD,0.002432,
Quick,AADD,0.006332,
Tim,AADD,0.001743,
Cape - Tim,AADC,0.001400,[39196 39198 39199 39200 39201],[78565 78566 78568 78569 78571],[78604 78602 78601 78600 78599],[49069 49069 49069 49069 49069],
Quad,AADC,0.001905,
Quick,AADC,0.005902,
Tim,AADC,0.001396,
Cape - Quad,AADR,0.003739,[39484 39486 39488 39489 39490],[78728 78729 78730 78731 78733],[78741 78740 78739 78738 78736],[49205 49207 49206 49208 49206],
Quad,AADR,0.003693,
Quick,AADR,0.007079,
Tim,AADR,0.005217,
Cape - Tim,AACA,0.000412,[39296 39298 39299 39300 39301],[78706 78707 78709 78710 78712],[98398 98398 98398 98398 98398],[108184 108186 108187 108188 108190],
Quad,AACA,0.000495,
Quick,AACA,0.005213,
Tim,AACA,0.000406,
Cape - Tim,AACD,0.001231,[39296 39298 39299 39300 39301],[78706 78707 78709 78710 78712],[98398 98398 98398 98398 98398],[88612 88610 88609 88608 88606],
Quad,AACD,0.001750,
Quick,AACD,0.005778,
Tim,AACD,0.001224,
Cape - Tim,AACC,0.000411,[39422 39424 39426 39427 39429],[78702 78704 78706 78708 78709],[98371 98371 98371 98371 98371],[98371 98371 98371 98371 98371],
Quad,AACC,0.000495,
Quick,AACC,0.005204,
Tim,AACC,0.000403,
Cape - Quad,AACR,0.003087,[39422 39424 39426 39427 39429],[78702 78704 78706 78708 78709],[98371 98371 98371 98371 98371],[98367 98368 98366 98367 98366],
Quad,AACR,0.003040,
Quick,AACR,0.006579,
Tim,AACR,0.004457,
Cape - Quad,AARA,0.002950,[39362 39364 39366 39367 39369],[78653 78655 78656 78658 78659],[98421 98423 98422 98424 98423],[108225 108226 108227 108228 108230],
Quad,AARA,0.002903,
Quick,AARA,0.006337,
Tim,AARA,0.004556,
Cape - Quad,AARD,0.003777,[39561 39562 39563 39564 39565],[78791 78792 78793 78795 78796],[98380 98381 98380 98382 98380],[88562 88560 88558 88557 88555],
Quad,AARD,0.003728,
Quick,AARD,0.007142,
Tim,AARD,0.005262,
Cape - Quad,AARC,0.003152,[39128 39130 39131 39132 39134],[78456 78457 78459 78460 78461],[98208 98210 98209 98211 98209],[98194 98194 98194 98194 98194],
Quad,AARC,0.003103,
Quick,AARC,0.006670,
Tim,AARC,0.004793,
Cape - Quad,AARR,0.004627,[39442 39443 39445 39447 39449],[78776 78778 78780 78781 78783],[98551 98553 98552 98553 98552],[98596 98598 98596 98598 98597],
Quad,AARR,0.004581,
Quick,AARR,0.007470,
