Sorts,Sequence,Time,Sample Sequence 1,Sample Sequence 2,Sample Sequence 3,Sample Sequence 4
Cape - Tim,AAAA,0.000442,[39476 39478 39479 39481 39482],[78787 78789 78791 78793 78795],[118051 118053 118054 118056 118057],[157336 157337 157339 157341 157342]
Quad,AAAA,0.000533,,,,
Tim,AAAA,0.000433,,,,
Quick,AAAA,0.005547,,,,
Cape - Tim,AAAC,0.000411,[39367 39369 39371 39373 39375],[78694 78696 78697 78699 78701],[117970 117971 117972 117973 117974],[147307 147307 147307 147307 147307]
Quad,AAAC,0.000496,,,,
Tim,AAAC,0.000404,,,,
Quick,AAAC,0.005234,,,,
Cape - Tim,AAAD,0.001079,[39364 39366 39367 39369 39371],[78807 78809 78810 78811 78812],[117913 117915 117917 117919 117920],[137594 137592 137590 137589 137588]
Quad,AAAD,0.001432,,,,
Tim,AAAD,0.001071,,,,
Quick,AAAD,0.005776,,,,
Cape - Quad,AAAR,0.002507,[39251 39252 39254 39255 39257],[78566 78567 78568 78569 78571],[117938 117940 117942 117944 117945],[147466 147467 147466 147468 147467]
Quad,AAAR,0.002494,,,,
Tim,AAAR,0.004287,,,,
Quick,AAAR,0.006426,,,,
Cape - Tim,AACA,0.000411,[39362 39363 39364 39365 39367],[78870 78872 78874 78876 78877],[98487 98487 98487 98487 98487],[108297 108298 108300 108301 108302]
Quad,AACA,0.000495,,,,
Tim,AACA,0.000403,,,,
Quick,AACA,0.0052,,,,
Cape - Tim,AACC,0.000411,[39362 39363 39364 39365 39367],[78870 78872 78874 78876 78877],[98487 98487 98487 98487 98487],[98487 98487 98487 98487 98487]
Quad,AACC,0.000495,,,,
Tim,AACC,0.000403,,,,
Quick,AACC,0.0052,,,,
Cape - Tim,AACD,0.001233,[39376 39377 39378 39380 39381],[78606 78608 78610 78612 78613],[98253 98253 98253 98253 98253],[88512 88511 88510 88508 88506]
Quad,AACD,0.001726,,,,
Tim,AACD,0.00122,,,,
Quick,AACD,0.005791,,,,
