Sorting Method,Ascending: 1,Descending: 2,Constant: 4,Random: 8,Sequence,Time
Tim, 3/4,0,0, 1/4,18,
Quad, 3/4,0,0, 1/4,18,
Tim, 3/4,0,0, 1/4,81,
Quad, 3/4,0,0, 1/4,81,
,,,,,,
,,,,,,
Tim, 3/4,0, 1/4,0,14,
Quad, 3/4,0, 1/4,0,14,
Tim, 3/4,0, 1/4,0,41,
Quad, 3/4,0, 1/4,0,41,
,,,,,,
,,,,,,
Tim, 3/4, 1/4,0,0,12,
Quad, 3/4, 1/4,0,0,12,
Tim, 3/4, 1/4,0,0,21,
Quad, 3/4, 1/4,0,0,21,
,,,,,,
,,,,,,
Tim, 2/4,0,0, 2/4,18,
Quad, 2/4,0,0, 2/4,18,
Tim, 2/4,0,0, 2/4,81,
Quad, 2/4,0,0, 2/4,81,
,,,,,,
,,,,,,
Tim, 2/4,0, 2/4,0,14,
Quad, 2/4,0, 2/4,0,14,
Tim, 2/4,0, 2/4,0,41,
Quad, 2/4,0, 2/4,0,41,
,,,,,,
,,,,,,
Tim, 2/4, 2/4,0,0,12,
Quad, 2/4, 2/4,0,0,12,
Tim, 2/4, 2/4,0,0,21,
Quad, 2/4, 2/4,0,0,21,
,,,,,,
,,,,,,
Tim, 2/4,0, 1/4, 1/4,148,
Quad, 2/4,0, 1/4, 1/4,148,
Tim, 2/4,0, 1/4, 1/4,184,
Quad, 2/4,0, 1/4, 1/4,184,
Tim, 2/4,0, 1/4, 1/4,418,
Quad, 2/4,0, 1/4, 1/4,418,
Tim, 2/4,0, 1/4, 1/4,481,
Quad, 2/4,0, 1/4, 1/4,481,
Tim, 2/4,0, 1/4, 1/4,814,
Quad, 2/4,0, 1/4, 1/4,814,
Tim, 2/4,0, 1/4, 1/4,841,
Quad, 2/4,0, 1/4, 1/4,841,
,,,,,,
,,,,,,
Tim, 2/4, 1/4,0, 1/4,128,
Quad, 2/4, 1/4,0, 1/4,128,
Tim, 2/4, 1/4,0, 1/4,182,
Quad, 2/4, 1/4,0, 1/4,182,
Tim, 2/4, 1/4,0, 1/4,218,
Quad, 2/4, 1/4,0, 1/4,218,
Tim, 2/4, 1/4,0, 1/4,281,
Quad, 2/4, 1/4,0, 1/4,281,
Tim, 2/4, 1/4,0, 1/4,812,
Quad, 2/4, 1/4,0, 1/4,812,
Tim, 2/4, 1/4,0, 1/4,821,
Quad, 2/4, 1/4,0, 1/4,821,
,,,,,,
,,,,,,
Tim, 2/4, 1/4, 1/4,0,124,
Quad, 2/4, 1/4, 1/4,0,124,
Tim, 2/4, 1/4, 1/4,0,142,
Quad, 2/4, 1/4, 1/4,0,142,
Tim, 2/4, 1/4, 1/4,0,214,
Quad, 2/4, 1/4, 1/4,0,214,
Tim, 2/4, 1/4, 1/4,0,241,
Quad, 2/4, 1/4, 1/4,0,241,
Tim, 2/4, 1/4, 1/4,0,412,
Quad, 2/4, 1/4, 1/4,0,412,
Tim, 2/4, 1/4, 1/4,0,421,
